id,name,address,reference,desc,area,status_online,status_operation,total_docks,occupied_docs,available_bikes,available_docks,incidents,occupancy_rate,lon,lat
63,Cardoso de Melo,"Rua Ponta Delgada, em frente ao nº 76",,12x0,21,A,EO,12,1,1,11,0,8,-46.68359,-23.599149
64,Shopping Vila Olímpia,"Rua Tenerife, em frente ao nº 31",,12x0,21,A,EO,12,1,1,11,0,8,-46.687785,-23.595914
65,Vila Olímpia,"Rua Beira Rio, em frente ao nº 67",,12x0,21,A,EO,12,4,4,8,0,33,-46.691186,-23.595472
66,Chilon,"Rua Chilon, 443",,12x0,21,A,EO,12,0,0,12,0,0,-46.68329,-23.59443
67,Avenida Faria Lima,Rua Lopes Neto,,12x0,21,I,EM,12,12,12,0,0,100,-46.682968,-23.588629
68,Parque do Povo,Avenida Henrique Chama,,12x0,21,A,EO,12,5,5,7,0,41,-46.688203,-23.58976
69,Atlântica,R Atlantica,,12x0,21,A,EO,12,1,1,11,0,8,-46.677603,-23.568668
70,MuBE,Rua Áustria,,12x0,21,A,EO,12,0,0,12,0,0,-46.676981,-23.573919
71,Avenida Europa,Rua Suécia,,12x0,21,A,EO,12,1,1,11,0,8,-46.680178,-23.577282
72,Madre Alix,Rua Dr. Antonio Carlos de Assunçao,,12x0,21,I,EM,12,5,5,7,0,41,-46.681773,-23.572593
73,Sampaio Vidal,R Sampaio Vidal,,12x0,21,A,EO,12,3,3,9,0,25,-46.686508,-23.569926
74,Shopping Eldorado,Rua Içana,,12x0,21,I,EO,11,3,3,8,0,27,-46.695585,-23.573565
75,Clube Hebraica,Rua Ibiapinópolis,,12x0,21,A,EO,12,1,1,11,0,8,-46.691658,-23.577557
76,Shopping Iguatemi,Rua Iramaia,,12x0,21,A,EO,12,0,0,12,0,0,-46.686336,-23.575925
77,Esporte Clube Pinheiros,Rua Tucuma,,12x0,21,A,EO,12,1,1,11,0,8,-46.687667,-23.580684
78,Cidade Jardim,Rua Franz Schubert,,12x0,21,A,EO,11,6,6,5,0,54,-46.689405,-23.58504
79,Secretaria da Educação,R Dr Diogo de Faria,,12x0,21,A,EO,12,8,8,4,0,66,-46.649065,-23.595197
80,UNIFESP,R Napoleão de Barros,,12x0,21,A,EO,12,1,1,11,0,8,-46.644011,-23.598215
81,Liceu Pasteur,Rua Dr. Diogo de Faria,,12x0,21,A,EO,11,9,9,2,0,81,-46.639773,-23.595964
82,Shopping Santa Cruz,Rua Machado Bitencourt,,12x0,21,I,EO,12,8,8,4,0,66,-46.638293,-23.600486
83,Altino Arantes,Av Dr Altino Arantes,,12x0,21,A,EO,12,8,8,4,0,66,-46.637949,-23.602688
84,UNIP,Av Dr Altino Arantes,,12x0,21,A,EO,12,4,4,8,0,33,-46.648507,-23.60257
85,Morais de Barro,"Rua Morais de Barros, 960",,12x0,21,A,EO,12,7,7,5,0,58,-46.673526,-23.615154
86,Gil Eanes,"Rua Gil Eanes, 200  Esquina com a Rua Vieira de Moraes",,12x0,21,A,EO,12,4,4,8,0,33,-46.679191,-23.616491
87,Gabrielle DAnnunzio,"Rua Gabrielle DAnnunzio, oposto ao nº 390 Esquina com a Avenida Vereador José Diniz",,12x0,21,A,EO,11,8,8,3,0,72,-46.678848,-23.620561
88,Flórida,"Rua Flórida, 3816",,12x0,21,A,EO,11,8,8,3,0,72,-46.681509,-23.61712
89,Demóstenes,"Rua Demóstenes, 55",,12x0,21,I,EI,12,0,0,12,0,0,-46.677646,-23.613266
90,Luisiânia,"Rua Luisiânia, 260",,12x0,21,A,EO,12,11,11,1,0,91,-46.679792,-23.610475
91,Arizona,R Arizona / Esquina com a Rua Califórnia,,12x0,21,A,EO,12,2,2,10,0,16,-46.687302,-23.615036
92,Acaí Clube,"Rua Pe. Antonio Jose dos Santos, 859",,12x0,21,A,EO,12,1,1,11,0,8,-46.686401,-23.610435
93,Ribeiro do Vale,"Rua Ribeiro do Vale, 1460",,12x0,21,A,EO,12,2,2,10,0,16,-46.681079,-23.605441
94,Bandeirantes,"Rua Conceicão de Monte Alegre,1661",,12x0,21,A,EO,12,4,4,8,0,33,-46.683483,-23.602138
95,Procopio Ferreira,Rua Rosa Gaeta Lazara,,12x0,21,A,EO,12,0,0,12,0,0,-46.689534,-23.600103
96,Hipica Paulista,"Rua Quintana, 198",,12x0,21,A,EO,12,2,2,10,0,16,-46.690263,-23.603986
97,Lions Moncoes,"Rua Flórida, 1442",,12x0,21,A,EO,12,4,4,8,0,33,-46.692109,-23.608194
98,James Watt,"Rua James Watt, 65",,12x0,21,A,EO,12,0,0,12,0,0,-46.694769,-23.61189
99,Berrini,"Rua Guilherme Barbosa de Melo, 237",,12x0,21,A,EO,12,8,8,4,0,66,-46.694769,-23.605048
100,Guararapes,"Praca Gal. Eneias Martins Nogueira, 2064",,12x0,21,A,EO,12,2,2,10,0,16,-46.694855,-23.602492
101,CENU,"Rua Edward Weston, Esquina oposta com a Rua Arizona",,12x0,21,I,EI,12,0,0,12,0,0,-46.69595,-23.609894
102,Metrô Pinheiros,,,12x0,21,I,EI,12,0,0,12,0,0,-46.701464,-23.56615
103,CPTM Cidade Universitária,,,12x0,21,A,EO,12,7,7,5,0,58,-46.710305,-23.553562
104,Pedroso de Moraes,"Praça Ernani Braga, oposto a lateral do numero 21",,12x0,21,A,EO,12,8,8,4,0,66,-46.696878,-23.559323
105,Tomie Ohtake,"Rua Fernao Dias, em frente ao numero 53",,12x0,21,A,EO,12,9,9,3,0,75,-46.69552,-23.561292
106,Metrô Faria Lima,,,12x0,21,I,EI,12,0,0,12,0,0,-46.692817,-23.568019
107,Metrô Fradique,"Rua Mateus Grou, em frente ao numero 57",,12x0,21,A,EO,12,10,10,2,0,83,-46.683697,-23.565088
108,Simão Álvares,"Rua Simão Álvares, em frente ao numero 770",,12x0,21,A,EO,12,7,7,5,0,58,-46.690649,-23.561017
109,Morás,"Rua dos Morás, lateral do número 375",,12x0,21,A,EO,12,3,3,9,0,25,-46.692752,-23.557162
110,Metrô Vila Madalena,"Rua Paulistânia, em frente ao numero 432",,12x0,21,A,EO,12,2,2,10,0,16,-46.690456,-23.547838
111,Wisard,"Rua Wisard, lateral do nomero 394",,12x0,21,A,EO,12,2,2,10,0,16,-46.688439,-23.554486
112,Cônego Eugênio Leite,"Rua Cônego Eugênio Leite, em frente ao numero 1161",,12x0,21,A,EO,12,2,2,10,0,16,-46.683826,-23.559345
113,João Moura,"Rua João Moura, em frente ao numero 1005",,12x0,21,A,EO,12,1,1,11,0,8,-46.680221,-23.556866
114,Metrô Sumaré,"Rua Professor Rubião Meira, em frente ao numero 31",,12x0,21,I,EM,12,0,0,12,0,0,-46.678462,-23.551467
115,Metrô Clinicas,"Rua: Arruda Alvin, 31",,12x0,21,A,EO,12,4,4,8,0,33,-46.673967,-23.555328
116,Lisboa,"Rua Lisboa, em frente ao número 294 / Esquina com a Rua Artur de Azevedo",,12x0,21,A,EO,12,1,1,11,0,8,-46.678281,-23.561234
